"title","content","rating"
"Very bad product","Terrible product..first of all the tempered glass had some sort of stain at the bottom and when you applied the glue and stuck the tempered glass screen protector.. the glue started to come out from all sides and some of the glue went into the speaker grill at the top... overall this was a very bad product","1.0"
"Best product at this price","Tempered glass is great cover full screen edge to edge fingerprint and touch works great but the amount ofglue they provide is more than required my suggestion will be to use half of the glue provided otherwise you will be wiping it from earpiece speaker but product is nice","5.0"
"Read and buy","Gr8 invention... At 1st i thought of taking it to a mobile shop for installing.. then i tried it muself.. easy installation... Caution - THE GLUE MAY GO INTO UAR SPEAKER ON TOP... .it blocked my vent dots but able to hear as clear as before.. Dnt slide the glass after placing it on glue as it will through all the glue out.. just place it and adjust.. WIPE OFF THE GLUE IMIDIATELY FM SIDES.. I RUINED MY TPU CASE.. KEEP UAR TPU CASE FAR AWAY","5.0"
"Amazing product 😍","Wow... The product is looking like a awesome.. The tempered glass is full cover in the full curve display... I m used in so many tempered glass in my phone but this is the best one of my Phone .. I'm really Happy because The product is valuable for money... The tempered glass is user friendly easy to fix ..😍 The product is fantastic and awesome... I really love it..my look like a amazing  ..user friendly.. Easy to fix the tempered glass... The product is valuable for money... I m used in so many tempered glass in my phone but this is the best one of my phone.The product looking like a awesome...im share to my All one plus 7pro user friends.  The tempered glass is full cover in the full curve display..Amazon delivery is very fast and the delivery boy behavior is awesome.. I will give you 5 start to the product...one information to all of you the products fixing time before you must watch how to fix uv tempered glass in the phone @ YouTube channel.. Then u fix the glass... Day to day the phone is look like a.. I'm speechless..  Awesome awesome awesome... The product is scratch less.. The product is very strong..im share to my all one plus 7 pro friends please buy this product.. My 2 friends orderd the  tempered glass ..  I suggest my all one plus 7 pro team.. I'm buy the products 21/9/2019 .6 days later my uv tempered glass looking like a awesome and new look.. I m so so happy to buy the genius product.","5.0"
"Can harm your display","Beware from this type of product, it can kill your phone. I have experienced this. The glue chemical when react with uv light it may effect the display color and can cause other issues. In my case after applying this tempered glass my display colour was changed and after some time display touch stop working. I couldn't understand that what happened to my phone. I have taken my phone to the service centre where they informed that due to this type of chemical and the the heating process with uv light has affected the display and they also refused to replace the screen as this was not cover under the warranty. Service centre person told me that more than four to five such same cases are already in their knowledge who have faced same problem. So friends please be aware don't buy it, it is very dangerous if you are not sure then go to service centre and consult them, rest is your choice if you want to destroy your display which cost more than 18000 for just cheap product of 700 rupees then go for it","1.0"
"Amazing quality and amazing UV technology to fix the glass.","Amazing quality and amazing UV technology to fix the glass. Aftee applying glass i found there is no change on screen sensitivity and view quality , it is same as screen without glass . In past i used other glasses for my same mobile but no where i found perfection in quality which i found in this glass , Particularly following features are out standing in this glass with respect to other ordinary glass 1)  Air bubble free fixing by UV technology. 2)  You can align the glass  even after placing glass on screen with adhesive . 3)  Curvature/ edges  part is mad perfect and it is exactly matching with mobile  screen curvature . 4)  Everything is supplied in the kit , no need to search for any single item while fixing . Just spare your 5 minute to fix it . Pl. read the instruction or see video carefully for How to fix the glass.","5.0"
"Warning : DON'T BUY! It spoilt the speaker of the phone.","WARNING. DON'T USE THIS PRODUCT. THE UV INK SPOILT MY PHONE SPEAKERS. CASEU NEEDS TO ANSWER THIS!","1.0"
"Waste","Purchased Twice, Fooled Twice","1.0"
"Perfect fit for One plus 7 pro","Writing after a day of usage. It was perfect fit for o e plus 7 pro. Nice clean and strong tampered glass with the side curves to match the curved display. Finger print scanner works fine and the glass feels strong , not nano film it's like the usual tampered glass. Almost easy to install, the glue part can make it little messy but not difficult and it's easy to clean up. The pack comes with glass, glue , cleaners and light for the glue.","4.0"
"Super  best for one plus 7 pro","This is my 4th temperd glass so I know one thing uv temperd glass is right choice for op7 pro other glass is corner side glue so many bubbles are there because curved display in op 7 pro so my 2000 rs  gone to three temperd glass but it's perfect fit and no bubbles love this product","5.0"
